max_depth,subsample,colsample_bytree,n_estimators,gamma,learning_rate,accuracy
2,0.8,0.8,100,0,0.01,0.7011590271771889
2,0.8,0.8,100,0,0.1,0.6986260712320151
2,0.8,0.8,100,0,0.3,0.6910232722698326
2,0.8,0.8,100,0.1,0.01,0.7011590271771889
2,0.8,0.8,100,0.1,0.1,0.6986260712320151
2,0.8,0.8,100,0.1,0.3,0.6902999449642268
2,0.8,0.8,100,0.2,0.01,0.7011590271771889
2,0.8,0.8,100,0.2,0.1,0.6986260712320151
2,0.8,0.8,100,0.2,0.3,0.6906616086170297
2,0.8,0.8,200,0,0.01,0.7000707602798963
2,0.8,0.8,200,0,0.1,0.6932024268155252
2,0.8,0.8,200,0,0.3,0.6787267080745342
2,0.8,0.8,200,0.1,0.01,0.7000707602798963
2,0.8,0.8,200,0.1,0.1,0.6932024268155252
2,0.8,0.8,200,0.1,0.3,0.6834283355609718
2,0.8,0.8,200,0.2,0.01,0.7000707602798963
2,0.8,0.8,200,0.2,0.1,0.6960963912257252
2,0.8,0.8,200,0.2,0.3,0.6874066357418036
2,0.8,0.8,300,0,0.01,0.702965379877873
2,0.8,0.8,300,0,0.1,0.6917590481431979
2,0.8,0.8,300,0,0.3,0.6682345310165895
2,0.8,0.8,300,0.1,0.01,0.702965379877873
2,0.8,0.8,300,0.1,0.1,0.6888591870430065
2,0.8,0.8,300,0.1,0.3,0.6714895038918154
2,0.8,0.8,300,0.2,0.01,0.702965379877873
2,0.8,0.8,300,0.2,0.1,0.693203737191079
2,0.8,0.8,300,0.2,0.3,0.6772761223366617
2,0.8,0.9,100,0,0.01,0.7011590271771889
2,0.8,0.9,100,0,0.1,0.6979047094897396
2,0.8,0.9,100,0,0.3,0.6899428676258615
2,0.8,0.9,100,0.1,0.01,0.7011590271771889
2,0.8,0.9,100,0.1,0.1,0.6979047094897396
2,0.8,0.9,100,0.1,0.3,0.6924745131954818
2,0.8,0.9,100,0.2,0.01,0.7011590271771889
2,0.8,0.9,100,0.2,0.1,0.6979047094897396
2,0.8,0.9,100,0.2,0.3,0.6924745131954818
2,0.8,0.9,200,0,0.01,0.6993467777865137
2,0.8,0.9,200,0,0.1,0.6953724087323426
2,0.8,0.9,200,0,0.3,0.6841529732421312
2,0.8,0.9,200,0.1,0.01,0.6993467777865137
2,0.8,0.9,200,0.1,0.1,0.6960957360379485
2,0.8,0.9,200,0.1,0.3,0.6841529732421312
2,0.8,0.9,200,0.2,0.01,0.6993467777865137
2,0.8,0.9,200,0.2,0.1,0.6960957360379485
2,0.8,0.9,200,0.2,0.3,0.6837913095893283
2,0.8,0.9,300,0,0.01,0.7018810441072412
2,0.8,0.9,300,0,0.1,0.6932024268155254
2,0.8,0.9,300,0,0.3,0.6780040359567052
2,0.8,0.9,300,0.1,0.01,0.7018810441072412
2,0.8,0.9,300,0.1,0.1,0.6917544618287602
2,0.8,0.9,300,0.1,0.3,0.6780040359567052
2,0.8,0.9,300,0.2,0.01,0.7018810441072412
2,0.8,0.9,300,0.2,0.1,0.6917544618287602
2,0.8,0.9,300,0.2,0.3,0.678727363262311
2,0.8,1.0,100,0,0.01,0.7004356998715832
2,0.8,1.0,100,0,0.1,0.6979027439264093
2,0.8,1.0,100,0,0.3,0.6968184081557774
2,0.8,1.0,100,0.1,0.01,0.7004356998715832
2,0.8,1.0,100,0.1,0.1,0.6979027439264093
2,0.8,1.0,100,0.1,0.3,0.6968184081557774
2,0.8,1.0,100,0.2,0.01,0.7004356998715832
2,0.8,1.0,100,0.2,0.1,0.6979027439264093
2,0.8,1.0,100,0.2,0.3,0.695010089891763
2,0.8,1.0,200,0,0.01,0.6993461225987367
2,0.8,1.0,200,0,0.1,0.6975384595224992
2,0.8,1.0,200,0,0.3,0.6823498964803313
2,0.8,1.0,200,0.1,0.01,0.6993461225987367
2,0.8,1.0,200,0.1,0.1,0.697900123175302
2,0.8,1.0,200,0.1,0.3,0.6845198783971486
2,0.8,1.0,200,0.2,0.01,0.6993461225987367
2,0.8,1.0,200,0.2,0.1,0.697900123175302
2,0.8,1.0,200,0.2,0.3,0.6798130094084966
2,0.8,1.0,300,0,0.01,0.7015180700788847
2,0.8,1.0,300,0,0.1,0.6939211678066934
2,0.8,1.0,300,0,0.3,0.6848789212988442
2,0.8,1.0,300,0.1,0.01,0.7015180700788847
2,0.8,1.0,300,0.1,0.1,0.6953684776056818
2,0.8,1.0,300,0.1,0.3,0.6852405849516472
2,0.8,1.0,300,0.2,0.01,0.7015180700788847
2,0.8,1.0,300,0.2,0.1,0.6939218229944702
2,0.8,1.0,300,0.2,0.3,0.6776390963650181
2,0.9,0.8,100,0,0.01,0.7018823544827948
2,0.9,0.8,100,0,0.1,0.6960918049112876
2,0.9,0.8,100,0,0.3,0.6863255759100557
2,0.9,0.8,100,0.1,0.01,0.7018823544827948
2,0.9,0.8,100,0.1,0.1,0.6960918049112876
2,0.9,0.8,100,0.1,0.3,0.6863255759100557
2,0.9,0.8,100,0.2,0.01,0.7018823544827948
2,0.9,0.8,100,0.2,0.1,0.6960918049112876
2,0.9,0.8,100,0.2,0.3,0.6863255759100557
2,0.9,0.8,200,0,0.01,0.6975397698980528
2,0.9,0.8,200,0,0.1,0.6895838247241659
2,0.9,0.8,200,0,0.3,0.6798162853473805
2,0.9,0.8,200,0.1,0.01,0.6975397698980528
2,0.9,0.8,200,0.1,0.1,0.689222161071363
2,0.9,0.8,200,0.1,0.3,0.6816246036113951
2,0.9,0.8,200,0.2,0.01,0.6975397698980528
2,0.9,0.8,200,0.2,0.1,0.6924771339465892
2,0.9,0.8,200,0.2,0.3,0.6816246036113951
2,0.9,0.8,300,0,0.01,0.7026050266006238
2,0.9,0.8,300,0,0.1,0.6910278585842702
2,0.9,0.8,300,0,0.3,0.683069947847053
2,0.9,0.8,300,0.1,0.01,0.7026050266006238
2,0.9,0.8,300,0.1,0.1,0.6910285137720471
2,0.9,0.8,300,0.1,0.3,0.6783683203606153
2,0.9,0.8,300,0.2,0.01,0.7026050266006238
2,0.9,0.8,300,0.2,0.1,0.6917518410776529
2,0.9,0.8,300,0.2,0.3,0.6819849568886444
2,0.9,0.9,100,0,0.01,0.700797363524386
2,0.9,0.9,100,0,0.1,0.6953684776056818
2,0.9,0.9,100,0,0.3,0.6888546007285689
2,0.9,0.9,100,0.1,0.01,0.700797363524386
2,0.9,0.9,100,0.1,0.1,0.6950068139528789
2,0.9,0.9,100,0.1,0.3,0.6913862462981891
2,0.9,0.9,100,0.2,0.01,0.700797363524386
2,0.9,0.9,100,0.2,0.1,0.6931984956888645
2,0.9,0.9,100,0.2,0.3,0.6935562282150064
2,0.9,0.9,200,0,0.01,0.699710407002647
2,0.9,0.9,200,0,0.1,0.68922281625914
2,0.9,0.9,200,0,0.3,0.6761898210026994
2,0.9,0.9,200,0.1,0.01,0.699710407002647
2,0.9,0.9,200,0.1,0.1,0.686689860313966
2,0.9,0.9,200,0.1,0.3,0.6758281573498965
2,0.9,0.9,200,0.2,0.01,0.699710407002647
2,0.9,0.9,200,0.2,0.1,0.6884981785779805
2,0.9,0.9,200,0.2,0.3,0.6826997667531515
2,0.9,0.9,300,0,0.01,0.7011564064260817
2,0.9,0.9,300,0,0.1,0.6906681604947977
2,0.9,0.9,300,0,0.3,0.671852477920172
2,0.9,0.9,300,0.1,0.01,0.7011564064260817
2,0.9,0.9,300,0.1,0.1,0.6863216447833949
2,0.9,0.9,300,0.1,0.3,0.6765501742799487
2,0.9,0.9,300,0.2,0.01,0.7011564064260817
2,0.9,0.9,300,0.2,0.1,0.6874066357418036
2,0.9,0.9,300,0.2,0.3,0.679811043845166
2,0.9,1.0,100,0,0.01,0.701159027177189
2,0.9,1.0,100,0,0.1,0.6975410802736064
2,0.9,1.0,100,0,0.3,0.6942847970228267
2,0.9,1.0,100,0.1,0.01,0.701159027177189
2,0.9,1.0,100,0.1,0.1,0.6975410802736064
2,0.9,1.0,100,0.1,0.3,0.6939231333700238
2,0.9,1.0,100,0.2,0.01,0.701159027177189
2,0.9,1.0,100,0.2,0.1,0.6975410802736064
2,0.9,1.0,100,0.2,0.3,0.693199806064418
2,0.9,1.0,200,0,0.01,0.6993487433498441
2,0.9,1.0,200,0,0.1,0.6960970464135021
2,0.9,1.0,200,0,0.3,0.687043661713447
2,0.9,1.0,200,0.1,0.01,0.6993487433498441
2,0.9,1.0,200,0.1,0.1,0.6989903556359253
2,0.9,1.0,200,0.1,0.3,0.6823413790392326
2,0.9,1.0,200,0.2,0.01,0.6993487433498441
2,0.9,1.0,200,0.2,0.1,0.6960970464135021
2,0.9,1.0,200,0.2,0.3,0.6816180517336268
2,0.9,1.0,300,0,0.01,0.7007960531488325
2,0.9,1.0,300,0,0.1,0.6953730639201195
2,0.9,1.0,300,0,0.3,0.6805330607752181
2,0.9,1.0,300,0.1,0.01,0.7007960531488325
2,0.9,1.0,300,0.1,0.1,0.6960963912257252
2,0.9,1.0,300,0.1,0.3,0.6772807086510995
2,0.9,1.0,300,0.2,0.01,0.7007960531488325
2,0.9,1.0,300,0.2,0.1,0.6960963912257252
2,0.9,1.0,300,0.2,0.3,0.6841523180543544
2,1.0,0.8,100,0,0.01,0.7000714154676729
2,1.0,0.8,100,0,0.1,0.6986241056686846
2,1.0,0.8,100,0,0.3,0.6932024268155252
2,1.0,0.8,100,0.1,0.01,0.7000714154676729
2,1.0,0.8,100,0.1,0.1,0.6986241056686846
2,1.0,0.8,100,0.1,0.3,0.6906661949314673
2,1.0,0.8,100,0.2,0.01,0.7000714154676729
2,1.0,0.8,100,0.2,0.1,0.6986241056686846
2,1.0,0.8,100,0.2,0.3,0.6906661949314673
2,1.0,0.8,200,0,0.01,0.7004337343082527
2,1.0,0.8,200,0,0.1,0.6932004612521949
2,1.0,0.8,200,0,0.3,0.6845179128338181
2,1.0,0.8,200,0.1,0.01,0.7004337343082527
2,1.0,0.8,200,0.1,0.1,0.6932004612521949
2,1.0,0.8,200,0.1,0.3,0.6837932751526588
2,1.0,0.8,200,0.2,0.01,0.7004337343082527
2,1.0,0.8,200,0.2,0.1,0.6932004612521949
2,1.0,0.8,200,0.2,0.3,0.6743900201797836
2,1.0,0.8,300,0,0.01,0.7004343894960295
2,1.0,0.8,300,0,0.1,0.6993480881620673
2,1.0,0.8,300,0,0.3,0.6812583536441544
2,1.0,0.8,300,0.1,0.01,0.7004343894960295
2,1.0,0.8,300,0.1,0.1,0.6993480881620673
2,1.0,0.8,300,0.1,0.3,0.6816206724847341
2,1.0,0.8,300,0.2,0.01,0.7004343894960295
2,1.0,0.8,300,0.2,0.1,0.6993480881620673
2,1.0,0.8,300,0.2,0.3,0.6816206724847341
2,1.0,0.9,100,0,0.01,0.7015180700788847
2,1.0,0.9,100,0,0.1,0.6971754854941425
2,1.0,0.9,100,0,0.3,0.6863229551589486
