max_depth,subsample,colsample_bytree,n_estimators,gamma,learning_rate,brier_score
2,0.8,0.8,200,0,0.01,0.1986374409236327
2,0.8,0.8,200,0,0.1,0.1990825860334407
2,0.8,0.8,200,0,0.3,0.21182017593228575
2,0.8,0.8,200,0.1,0.01,0.1986374409236327
2,0.8,0.8,200,0.1,0.1,0.19902598540469155
2,0.8,0.8,200,0.1,0.3,0.21163256482359327
2,0.8,0.8,200,0.2,0.01,0.1986374409236327
2,0.8,0.8,200,0.2,0.1,0.19902601534604797
2,0.8,0.8,200,0.2,0.3,0.21137747750185426
2,0.8,0.8,300,0,0.01,0.19740343336982039
2,0.8,0.8,300,0,0.1,0.20068118879218763
2,0.8,0.8,300,0,0.3,0.2205190114922495
2,0.8,0.8,300,0.1,0.01,0.19740343336982039
2,0.8,0.8,300,0.1,0.1,0.20073428406377483
2,0.8,0.8,300,0.1,0.3,0.21984453602930681
2,0.8,0.8,300,0.2,0.01,0.19740343336982039
2,0.8,0.8,300,0.2,0.1,0.20106499688116627
2,0.8,0.8,300,0.2,0.3,0.22253824249632714
2,0.8,0.9,200,0,0.01,0.19873271042171664
2,0.8,0.9,200,0,0.1,0.1993643017891103
2,0.8,0.9,200,0,0.3,0.2145087073829206
2,0.8,0.9,200,0.1,0.01,0.19873271042171664
2,0.8,0.9,200,0.1,0.1,0.1993643017891103
2,0.8,0.9,200,0.1,0.3,0.2145087073829206
2,0.8,0.9,200,0.2,0.01,0.19873271042171664
2,0.8,0.9,200,0.2,0.1,0.1993638074597781
2,0.8,0.9,200,0.2,0.3,0.21323905132878349
2,0.8,0.9,300,0,0.01,0.1974221785588077
2,0.8,0.9,300,0,0.1,0.2018877595281659
2,0.8,0.9,300,0,0.3,0.22256109547342445
2,0.8,0.9,300,0.1,0.01,0.1974221785588077
2,0.8,0.9,300,0.1,0.1,0.20188850138689124
2,0.8,0.9,300,0.1,0.3,0.22256109547342445
2,0.8,0.9,300,0.2,0.01,0.1974221785588077
2,0.8,0.9,300,0.2,0.1,0.2019399833659261
2,0.8,0.9,300,0.2,0.3,0.22090798812822202
2,0.8,1.0,200,0,0.01,0.19878437996417872
2,0.8,1.0,200,0,0.1,0.2003665757844805
2,0.8,1.0,200,0,0.3,0.2132587109810408
2,0.8,1.0,200,0.1,0.01,0.19878437996417872
2,0.8,1.0,200,0.1,0.1,0.2003665757844805
2,0.8,1.0,200,0.1,0.3,0.2125662161454346
2,0.8,1.0,200,0.2,0.01,0.19878437996417872
2,0.8,1.0,200,0.2,0.1,0.20036049995778615
2,0.8,1.0,200,0.2,0.3,0.211660410178122
2,0.8,1.0,300,0,0.01,0.19760284420118251
2,0.8,1.0,300,0,0.1,0.20200834751673996
2,0.8,1.0,300,0,0.3,0.21980238990309262
2,0.8,1.0,300,0.1,0.01,0.19760284420118251
2,0.8,1.0,300,0.1,0.1,0.20201818498820265
2,0.8,1.0,300,0.1,0.3,0.22061268123743413
2,0.8,1.0,300,0.2,0.01,0.19760284420118251
2,0.8,1.0,300,0.2,0.1,0.20207613313554465
2,0.8,1.0,300,0.2,0.3,0.2218955008996176
2,0.9,0.8,200,0,0.01,0.19877022308304051
2,0.9,0.8,200,0,0.1,0.1977135368176574
2,0.9,0.8,200,0,0.3,0.21073018603648036
2,0.9,0.8,200,0.1,0.01,0.19877022308304051
2,0.9,0.8,200,0.1,0.1,0.1977135368176574
2,0.9,0.8,200,0.1,0.3,0.21096004478438876
2,0.9,0.8,200,0.2,0.01,0.19877022308304051
2,0.9,0.8,200,0.2,0.1,0.19771401607613473
2,0.9,0.8,200,0.2,0.3,0.21092150677472593
2,0.9,0.8,300,0,0.01,0.19751411743860564
2,0.9,0.8,300,0,0.1,0.19830397773427144
2,0.9,0.8,300,0,0.3,0.21741193320517205
2,0.9,0.8,300,0.1,0.01,0.19751411743860564
2,0.9,0.8,300,0.1,0.1,0.19835325598653514
2,0.9,0.8,300,0.1,0.3,0.21855936090824013
2,0.9,0.8,300,0.2,0.01,0.19751411743860564
2,0.9,0.8,300,0.2,0.1,0.19817474774037536
2,0.9,0.8,300,0.2,0.3,0.21853568550990335
2,0.9,0.9,200,0,0.01,0.19878908440753576
2,0.9,0.9,200,0,0.1,0.19856769801663768
2,0.9,0.9,200,0,0.3,0.21073097692170473
2,0.9,0.9,200,0.1,0.01,0.19878908440753576
2,0.9,0.9,200,0.1,0.1,0.19856769801663768
2,0.9,0.9,200,0.1,0.3,0.20957038817556023
2,0.9,0.9,200,0.2,0.01,0.19878908440753576
2,0.9,0.9,200,0.2,0.1,0.1985072141829189
2,0.9,0.9,200,0.2,0.3,0.2094887592034645
2,0.9,0.9,300,0,0.01,0.19752810060038412
2,0.9,0.9,300,0,0.1,0.20064310401490149
2,0.9,0.9,300,0,0.3,0.21510471871235842
2,0.9,0.9,300,0.1,0.01,0.19752810060038412
2,0.9,0.9,300,0.1,0.1,0.20065744804386854
2,0.9,0.9,300,0.1,0.3,0.21492090792938295
2,0.9,0.9,300,0.2,0.01,0.19752810060038412
2,0.9,0.9,300,0.2,0.1,0.19969463522647418
2,0.9,0.9,300,0.2,0.3,0.2145739829942715
2,0.9,1.0,200,0,0.01,0.19876774989263493
2,0.9,1.0,200,0,0.1,0.1987252323824388
2,0.9,1.0,200,0,0.3,0.21048972302719382
2,0.9,1.0,200,0.1,0.01,0.19876774989263493
2,0.9,1.0,200,0.1,0.1,0.19870624825409422
2,0.9,1.0,200,0.1,0.3,0.21031784562534606
2,0.9,1.0,200,0.2,0.01,0.19876774989263493
2,0.9,1.0,200,0.2,0.1,0.1987210943528902
2,0.9,1.0,200,0.2,0.3,0.21024803545921839
2,0.9,1.0,300,0,0.01,0.19752140602175935
2,0.9,1.0,300,0,0.1,0.20037865702895413
2,0.9,1.0,300,0,0.3,0.21836598217648495
2,0.9,1.0,300,0.1,0.01,0.19752140602175935
2,0.9,1.0,300,0.1,0.1,0.19997866328959693
2,0.9,1.0,300,0.1,0.3,0.21861016933455044
2,0.9,1.0,300,0.2,0.01,0.19752140602175935
2,0.9,1.0,300,0.2,0.1,0.20002362978299876
2,0.9,1.0,300,0.2,0.3,0.21942146740213347
2,1.0,0.8,200,0,0.01,0.19918134990646982
2,1.0,0.8,200,0,0.1,0.19804825735662895
2,1.0,0.8,200,0,0.3,0.21027163496620135
2,1.0,0.8,200,0.1,0.01,0.19918134990646982
2,1.0,0.8,200,0.1,0.1,0.19804825735662895
2,1.0,0.8,200,0.1,0.3,0.2109629544164507
2,1.0,0.8,200,0.2,0.01,0.19918134990646982
2,1.0,0.8,200,0.2,0.1,0.1985567223474805
2,1.0,0.8,200,0.2,0.3,0.21006791790426077
2,1.0,0.8,300,0,0.01,0.19817290288622383
2,1.0,0.8,300,0,0.1,0.20020342405075203
2,1.0,0.8,300,0,0.3,0.2130044346471404
2,1.0,0.8,300,0.1,0.01,0.19817290288622383
2,1.0,0.8,300,0.1,0.1,0.20020342405075203
2,1.0,0.8,300,0.1,0.3,0.21478480835607566
2,1.0,0.8,300,0.2,0.01,0.19817290288622383
2,1.0,0.8,300,0.2,0.1,0.20063888682105518
2,1.0,0.8,300,0.2,0.3,0.21434730641789823
2,1.0,0.9,200,0,0.01,0.19930954254501182
2,1.0,0.9,200,0,0.1,0.19827318407863304
2,1.0,0.9,200,0,0.3,0.20819286804926235
2,1.0,0.9,200,0.1,0.01,0.19930954254501182
2,1.0,0.9,200,0.1,0.1,0.19830859613231752
2,1.0,0.9,200,0.1,0.3,0.20737877082924455
2,1.0,0.9,200,0.2,0.01,0.19930954254501182
2,1.0,0.9,200,0.2,0.1,0.19830859613231752
2,1.0,0.9,200,0.2,0.3,0.2071371353058602
2,1.0,0.9,300,0,0.01,0.19826530966637496
2,1.0,0.9,300,0,0.1,0.20025561915113976
2,1.0,0.9,300,0,0.3,0.21295825634657004
2,1.0,0.9,300,0.1,0.01,0.19826530966637496
2,1.0,0.9,300,0.1,0.1,0.2002628732599124
2,1.0,0.9,300,0.1,0.3,0.21270932788523017
2,1.0,0.9,300,0.2,0.01,0.19826530966637496
2,1.0,0.9,300,0.2,0.1,0.20021581846800673
2,1.0,0.9,300,0.2,0.3,0.21209859908378753
2,1.0,1.0,200,0,0.01,0.1993926226513437
2,1.0,1.0,200,0,0.1,0.19859937613815343
2,1.0,1.0,200,0,0.3,0.2123573178350326
2,1.0,1.0,200,0.1,0.01,0.1993926226513437
2,1.0,1.0,200,0.1,0.1,0.19859937613815343
2,1.0,1.0,200,0.1,0.3,0.21319392174047377
2,1.0,1.0,200,0.2,0.01,0.1993926226513437
2,1.0,1.0,200,0.2,0.1,0.19866719722366488
2,1.0,1.0,200,0.2,0.3,0.21261155466953188
2,1.0,1.0,300,0,0.01,0.19839858025288293
2,1.0,1.0,300,0,0.1,0.20086419688974638
2,1.0,1.0,300,0,0.3,0.21799839548955874
2,1.0,1.0,300,0.1,0.01,0.19839858025288293
2,1.0,1.0,300,0.1,0.1,0.20086419688974638
2,1.0,1.0,300,0.1,0.3,0.21801208506095335
2,1.0,1.0,300,0.2,0.01,0.19839858025288293
2,1.0,1.0,300,0.2,0.1,0.20140793158683543
2,1.0,1.0,300,0.2,0.3,0.21559759689135963
3,0.8,0.8,200,0,0.01,0.19725782640751915
3,0.8,0.8,200,0,0.1,0.20268799640281068
3,0.8,0.8,200,0,0.3,0.23029798725938125
3,0.8,0.8,200,0.1,0.01,0.19725782640751915
3,0.8,0.8,200,0.1,0.1,0.2015155320588772
3,0.8,0.8,200,0.1,0.3,0.23096518457150794
3,0.8,0.8,200,0.2,0.01,0.19725782640751915
