C,kernel,gamma,probability,brier_score
0.1,linear,scale,True,0.1953873924501551
0.1,linear,auto,True,0.1953873924501551
0.1,linear,0.1,True,0.1953873924501551
0.1,linear,1,True,0.1953873924501551
0.1,linear,0.01,True,0.1953873924501551
0.1,rbf,scale,True,0.20324308289474854
0.1,rbf,auto,True,0.20324308289474854
0.1,rbf,0.1,True,0.21927235734644596
0.1,rbf,1,True,0.25
0.1,rbf,0.01,True,0.2008714344355834
1,linear,scale,True,0.19549355826968964
1,linear,auto,True,0.19549355826968964
1,linear,0.1,True,0.19549355826968964
1,linear,1,True,0.19549355826968964
1,linear,0.01,True,0.19549355826968964
1,rbf,scale,True,0.20173907395574459
1,rbf,auto,True,0.20173907395574459
1,rbf,0.1,True,0.21569730467169887
1,rbf,1,True,0.2500003680289263
1,rbf,0.01,True,0.19669299667092832
10,linear,scale,True,0.19550783808342503
10,linear,auto,True,0.19550783808342503
10,linear,0.1,True,0.19550783808342503
10,linear,1,True,0.19550783808342503
10,linear,0.01,True,0.19550783808342503
10,rbf,scale,True,0.21276130262344708
10,rbf,auto,True,0.21276130262344717
10,rbf,0.1,True,0.22312902098793766
10,rbf,1,True,0.25000461584111255
10,rbf,0.01,True,0.20103391546870958
